Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =           1, dato=  bf87438a , Tiempo de escritura=         521, Driver de salida=          52, Tiempo de lectura=         627, Driver de llegada=           1 , Latencia=        106 
 ID =           1, dato=  f8084359 , Tiempo de escritura=         553, Driver de salida=          35, Tiempo de lectura=         639, Driver de llegada=           1 , Latencia=         86 
 ID =           1, dato=  a2eb0de5 , Tiempo de escritura=         527, Driver de salida=          54, Tiempo de lectura=         647, Driver de llegada=           1 , Latencia=        120 
 ID =           1, dato=  8d353538 , Tiempo de escritura=         569, Driver de salida=          45, Tiempo de lectura=         693, Driver de llegada=           1 , Latencia=        124 
Reporte Scoreboard
REPORTE DE TRANSACCIONES REALIZADAS
 ID =          53, dato=  14f66eb9d , Tiempo de escritura=          25, Driver de salida=          15, Tiempo de lectura=          57, Driver de llegada=          53 , Latencia=         32 
 ID =          20, dato=  81a1b9c7 , Tiempo de escritura=          61, Driver de salida=          10, Tiempo de lectura=          81, Driver de llegada=          20 , Latencia=         20 
 ID =           3, dato=  e85295c , Tiempo de escritura=          53, Driver de salida=           4, Tiempo de lectura=          85, Driver de llegada=           3 , Latencia=         32 
 ID =           1, dato=  704540a , Tiempo de escritura=          39, Driver de salida=          25, Tiempo de lectura=          89, Driver de llegada=           1 , Latencia=         50 
 ID =           4, dato=  13bba9e9 , Tiempo de escritura=          73, Driver de salida=          25, Tiempo de lectura=         101, Driver de llegada=           4 , Latencia=         28 
 ID =           1, dato=  58dae23 , Tiempo de escritura=          69, Driver de salida=          51, Tiempo de lectura=         113, Driver de llegada=           1 , Latencia=         44 
 ID =           4, dato=  139fc31b , Tiempo de escritura=         115, Driver de salida=          25, Tiempo de lectura=         143, Driver de llegada=           4 , Latencia=         28 
 ID =          35, dato=  d62cb22d , Tiempo de escritura=          91, Driver de salida=          30, Tiempo de lectura=         153, Driver de llegada=          35 , Latencia=         62 
 ID =          30, dato=  c2c7d7dd , Tiempo de escritura=         105, Driver de salida=          54, Tiempo de lectura=         163, Driver de llegada=          30 , Latencia=         58 
 ID =          52, dato=  14bda15ab , Tiempo de escritura=         101, Driver de salida=           4, Tiempo de lectura=         167, Driver de llegada=          52 , Latencia=         66 
 ID =           4, dato=  1321f984 , Tiempo de escritura=         151, Driver de salida=          54, Tiempo de lectura=         201, Driver de llegada=           4 , Latencia=         50 
 ID =          53, dato=  14e7f384c , Tiempo de escritura=         157, Driver de salida=           3, Tiempo de lectura=         209, Driver de llegada=          53 , Latencia=         52 
 ID =          35, dato=  d71efe70 , Tiempo de escritura=         171, Driver de salida=          54, Tiempo de lectura=         209, Driver de llegada=          35 , Latencia=         38 
